Rank,Network,Address,Prizes,Balance,Winrate
1,0x9776c82c8a4e9a388829cf4bd78d3cc7b25e09f3,polygon,100,5,2000.00%
2,0x5ad6ac513d28b9e2b9687a2c5b7b54c845183f2e,polygon,200,10,2000.00%
3,0x352c6a597f612636785f87f73ffe03eb44018524,polygon,200,13,1515.29%
4,0xac4b04156278634d81995aa1594f266d9c5b65b1,polygon,2526,2740,1173.03%
5,0xb28dd17a394e7202d154981fa5f487483c4233bd,polygon,2558,2943,654.22%
6,0x85bd4f508b2cd7a17bdfca628059b3b787546726,polygon,2552,3054,502.17%
7,0xe84b0443b8341d9c215a150ff208c0ce5d2d9a74,polygon,2564,3192,403.96%
8,0xa844a45da14c3cf9b2814f1a933a924109e7d1d9,polygon,10,4,250.00%
9,0x131714f33164d7e2bc5cccc294f545592e1b0de4,polygon,10,14,250.00%
10,0xee93cde6e4799b0fe5920c3f02e4cfefbd39ff80,polygon,10,4,250.00%
11,0xcca5b67ddff3d26c6173987f9c9f87e52b12573a,polygon,10,4,250.00%
12,0x9148c44bd93db8505222c235bee0546a3af40fbd,polygon,10,4,250.00%
13,0x2dab41f30a18816b778aee9277ed9059994bff9e,polygon,200,282,244.35%
14,0xa83e512702d1dc2df2c755a0aa8815d8a63054b8,polygon,10,15,200.00%
15,0xb4282b8b6feafad7a4731cb377340c2a519d770b,polygon,10,5,200.00%
16,0xae9d5647400ce620dcf954b0f822976ced9a6504,polygon,10,15,197.94%
17,0xa3bd3cc8207cfe58e71003e6d1d64256b2375467,polygon,10,15,193.06%
18,0x930b797b7787a28df9c5d9a6fa038233b7584f38,polygon,51,77,185.78%
19,0x6277f0457cbd2ded7ba93a8338d1deb1d08a8795,polygon,2826,4763,145.47%
20,0xbf4c544b70100d72c5c40e4521b600fe62a22b87,polygon,125,212,135.25%
21,0x1f69ee6c9db214362368608cd7d886cc64142270,polygon,10,8,125.00%
22,0xf2eb70e0c90cb9c8720cb374a8690cdc63e1680a,polygon,5,4,125.00%
23,0x769f7e18b77e13862b34abb940e59cfd1f5e7723,polygon,5,4,125.00%
24,0xc5e9d01f386430c393a190708b8dcbdae258e4ec,polygon,123,213,123.00%
25,0x02e262d07bdb8ad09bbf83f3bc23c55ecbda0f8b,polygon,210,401,110.13%
26,0x9df8754f8cf270e08687b2fe1f479c757310b4ca,polygon,110,210,110.00%
27,0xa7edf97e7998de170f97d7d4317625cff7bbbcb9,polygon,215,408,106.16%
28,0x22e5e9cba59e00e2a4bc0f6845d6313b4f3e9734,polygon,53,102,105.83%
29,0x8ae76ffd692ed84ec160455cd15408fb5d8a00a4,polygon,2610,5110,104.40%
30,0xf3150524baa0e7a4bea32779a48b48a8fe8396de,polygon,10,20,100.00%
31,0xefd0aedffe14a02c0ed764c5102bc61d15ccaf01,polygon,10,10,100.00%
32,0x52876dafdc67238390477bb2403bdc8021944ddc,polygon,100,200,100.00%
33,0x61b1c8dafe015223f6faa41201cf79a447c348f2,polygon,100,100,100.00%
34,0x139660bbfd2936ec6b37c6aa46d7476c7b48481c,polygon,50,50,100.00%
35,0xdb576efe338dc2b92b4f0a0d576d08f8c4ece517,polygon,5,10,100.00%
36,0x0ac8ca3a85edaa2de9b5776f63ca5d2ad470dc0c,polygon,5,5,100.00%
37,0xf3ba96cd93c013def2bacf56c20cf1339ddee80b,polygon,10,20,100.00%
38,0xcccf8d834febceb948cfa1349359907289de5c3e,polygon,10,20,100.00%
39,0x9fbd00df3f16c3fc39826408e67f1d11d9b4f8d1,polygon,10,10,100.00%
40,0x21909e494a1d00b4e30a918207350ced6da16b45,avalanche,201,403,98.80%
41,0x9a1888c3bd7576834664c2cd7012f50da53839a9,polygon,10,10,97.19%
42,0x2f49b721cc086be9495d5067958f69098d3c72ab,polygon,2606,5383,93.86%
43,0xf232f53d5782147342766d0ea98f96529aaebf6a,polygon,2760,3250,92.01%
44,0xd45b7892c3c6ee475133065855c1b0087fdb76d9,ethereum,2529,2752,91.91%
45,0xc9c5c21c9855f4a7df58308db41f2d23dae34803,polygon,10,11,89.29%
46,0x9ef06cd97cf751f91a58577de9276223096d4071,polygon,6,12,88.81%
47,0xbd3856549d219fbefb502f207c892bcb43f8b2f1,polygon,20,23,87.81%
48,0xb39d57c08082d0734606b7ccba6fad84a02c1df0,polygon,10,12,83.70%
49,0x65bb87fff283eb02be1ecf6882fd6f2f56768f82,polygon,10,22,83.33%
50,0x81a0cf53e9d0d0b50f4befde5abb6c20453751a0,ethereum,5,6,83.33%
51,0x563500208ac0f18239ad45ddc7ae51ca1f50f7e1,polygon,10,12,83.33%
52,0xa852471b0a5f7da9bc931c3781a8b5291ff41842,polygon,122,150,81.33%
53,0x995d4816d5007b8ed0b7d93ce3c18aaade42e382,polygon,3057,7044,76.48%
54,0xd81142580f1d8dfae2b2184af600a242c6a8836c,polygon,112,148,75.69%
55,0xa798d64425a2afac9575920df861990a8e1b69a9,polygon,10,24,68.97%
56,0x247c0f2d83934996b44a237bb9503a554eda34e7,polygon,2664,4087,66.60%
57,0x585fced8e5d357d6f7192de41d0b2d839795d437,polygon,3056,8043,61.27%
58,0xb76e4a9932538bbad705d2936d0db755389cacff,polygon,5,8,60.70%
59,0x5e4c09abf931b6369ab451503be546241a101fdc,polygon,2981,7871,60.70%
60,0xbe260b86e2ee35a406f9154107f242882ab00aee,polygon,120,320,60.00%
61,0xfff6b41a29881fc97bd6e8778529b1e37597d94a,polygon,6,10,60.00%
62,0x16a92f145f3b9ddca3bfc7e9d7fe97f1b193c22a,polygon,2700,7319,58.32%
63,0x855f8662c39a0ce5b3aee1356b08265a42f91dab,avalanche,50,88,56.82%
64,0xc779f7bd848b56a606d8c61502da8264b11f420d,polygon,2562,7079,56.71%
65,0xf041e4970a46e4341efc21068dda8aa98dbcb52c,polygon,553,1042,55.03%
66,0xa7578e4bb964ee07b74592bdd04327b377065b7d,polygon,110,310,55.00%
67,0x3cdab005d5bd647dcf7423febe6fafa157c49d2e,polygon,234,651,54.42%
68,0x3dd1b656fcc459cc4cf203b53aaabf8c85181f1d,polygon,118,340,53.21%
69,0xf424b292f7177c96f6b26325017360579ffa88d6,polygon,522,1502,52.20%
70,0xa5b3a7aadca7538604feecf36ed53f2ed51ec5c5,polygon,10,29,51.94%
71,0x94534412c17f2e58c85ff2d2ecb98a6cb79bbde3,polygon,101,296,51.87%
72,0xc699cfad26aeb158931fb6698311e3b518e98898,polygon,103,302,51.63%
73,0xcbaffd3c17c98cb6448bf92151a0318e595f3768,polygon,103,200,51.50%
